order_item_id,order_id,product_id,quantity,unit_price
1,122,83,3,1106.14
2,72,56,6,1210.31
3,345,100,10,4093.39
4,377,91,4,1480.54
5,119,85,7,1659.15
6,301,75,4,1258.75
7,367,38,7,4569.13
8,379,51,7,943.91
9,326,21,9,4866.81
10,133,62,1,2727.2
11,84,52,7,4439.95
12,341,78,6,878.24
13,155,93,9,2630.92
14,353,72,1,2909.83
15,258,80,2,416.87
16,129,78,1,4070.06
17,35,93,4,447.28
18,130,38,7,1095.11
19,280,74,4,1654.37
20,267,29,8,1428.25
21,60,59,9,3253.13
22,188,80,8,2013.11
23,50,95,3,4903.13
24,73,75,4,4158.01
25,467,4,1,2394.78
26,301,72,6,1455.02
27,316,95,3,161.93
28,412,12,4,257.47
29,227,32,2,2901.11
30,490,97,8,2599.69
31,106,43,6,3679.77
32,282,88,10,3536.98
33,162,39,4,4197.88
34,414,100,7,4848.66
35,45,46,5,950.22
36,482,97,6,4303.24
37,123,65,2,4210.03
38,408,89,6,206.51
39,145,76,8,2141.88
40,212,59,7,4049.85
41,284,42,8,3415.56
42,453,26,3,2479.62
43,488,55,1,1882.78
44,207,19,5,1921.04
45,186,7,2,2722.95
46,370,23,2,1305.75
47,241,14,10,3707.18
48,212,92,9,53.25
49,107,82,1,2287.17
50,148,5,8,1826.65
51,75,12,3,1178.45
52,123,7,4,1718.36
53,465,59,9,4279.76
54,475,96,5,2611.15
55,7,38,5,1789.81
56,265,22,1,2068.91
57,84,58,1,4201.3
58,464,36,10,2576.46
59,271,47,6,855.64
60,288,84,7,515.27
61,256,75,5,2053.48
62,201,66,9,1906.63
63,72,85,8,4881.19
64,164,24,3,3176.28
65,316,94,4,3927.0
66,82,77,1,188.36
67,155,25,9,4552.09
68,172,23,7,3219.34
69,227,93,3,150.93
70,320,20,9,3689.44
71,178,94,8,3395.3
72,36,16,4,4265.63
73,432,81,3,2834.41
74,208,20,5,4257.78
75,229,9,1,3362.64
76,29,24,3,1699.9
77,158,86,4,4715.74
78,130,5,7,1154.24
79,40,16,2,4412.23
80,46,59,9,706.97
81,334,26,5,446.44
82,46,74,9,4757.66
83,433,31,3,2340.73
84,433,56,1,2931.62
85,483,13,1,2930.14
86,401,41,1,4924.56
87,143,56,5,4517.5
88,467,14,6,207.8
89,186,82,8,3732.66
90,217,60,5,4609.96
91,343,31,6,59.46
92,70,5,5,1850.65
93,414,71,3,4938.5
94,323,10,8,4589.81
95,327,96,7,3539.06
96,359,5,6,2022.44
97,225,37,5,1504.01
98,329,17,7,2440.79
99,48,90,7,4448.45
100,476,42,6,2751.51
101,27,81,8,2075.33
102,188,1,3,3427.27
103,3,45,5,4194.6
104,379,74,9,81.63
105,163,74,3,983.64
106,46,91,3,4833.46
107,113,97,8,1646.83
108,1,15,9,4012.91
109,378,6,2,4740.6
110,298,1,3,4588.38
111,44,91,2,323.24
112,239,90,9,1195.4
113,32,1,2,338.92
114,54,83,8,3487.76
115,398,47,8,2405.72
116,17,94,4,4717.08
117,170,61,3,1159.51
118,262,96,7,1097.16
119,76,57,9,1271.48
120,219,51,10,1868.71
121,355,71,4,2575.43
122,3,100,1,3894.97
123,101,45,3,3715.21
124,280,96,1,2862.93
125,338,11,4,1891.54
126,382,61,10,3638.33
127,16,41,7,1115.12
128,438,70,7,4885.47
129,219,27,8,3965.77
130,385,68,1,4733.7
131,350,43,4,3343.43
132,412,73,6,2623.86
133,163,7,10,2369.17
134,384,56,4,1006.4
135,103,74,1,786.71
136,146,51,5,2093.48
137,45,3,7,4213.18
138,459,19,4,1761.03
139,187,18,3,1929.72
140,33,76,5,3020.86
141,308,95,3,3354.28
142,107,50,5,2546.93
143,184,70,3,3067.44
144,489,1,9,3390.92
145,409,50,10,143.47
146,295,67,2,4764.26
147,375,22,10,4128.12
148,50,51,3,286.69
149,330,55,2,2346.67
150,439,21,1,3986.2
151,391,33,1,4285.83
152,331,71,8,3698.85
153,442,63,2,2748.49
154,394,20,4,3682.65
155,167,37,9,173.76
156,448,63,2,2009.27
157,280,32,2,3003.86
158,117,89,4,3275.72
159,406,42,6,1502.13
160,323,28,4,2624.12
161,86,44,5,2947.15
162,255,76,5,1774.74
163,233,1,8,4307.04
164,391,89,5,1850.54
165,344,72,4,1711.57
166,124,99,8,1878.55
167,12,35,5,407.26
168,346,43,1,1337.56
169,229,15,9,126.31
170,110,35,5,3233.36
171,250,56,7,3883.99
172,428,89,10,1139.33
173,457,12,1,4061.07
174,128,67,3,1271.83
175,41,10,10,3875.02
176,483,45,2,2998.76
177,470,12,5,1473.21
178,285,19,9,1219.27
179,49,94,3,3011.49
180,364,17,1,515.15
181,50,32,5,2520.71
182,118,17,2,2697.04
183,201,52,2,201.51
184,415,98,4,3679.73
185,178,2,1,1521.8
186,413,61,8,3643.61
187,479,6,9,3506.07
188,178,21,7,1652.83
189,75,97,2,4397.81
190,364,51,9,2833.24
191,141,23,7,4500.91
192,158,67,6,3493.93
193,176,2,5,3509.64
194,83,81,8,1783.13
195,47,31,9,2125.82
196,431,52,5,3196.08
197,100,81,5,1760.6
198,146,61,6,4007.07
199,275,74,9,1041.39
200,396,1,10,2857.97
201,140,85,4,997.26
202,126,58,9,2787.18
203,264,37,9,291.29
204,373,55,4,1764.9
205,212,57,3,4923.29
206,406,39,1,1360.49
207,163,39,6,924.21
208,373,72,8,4207.79
209,251,72,5,1414.71
210,230,84,2,2402.95
