return_id,order_items_id,order_id,customer_id,return_date,return_reason,return_status,refund_amount,approved_by,notes
1,243,371,21,2025-09-23,Wrong item,Pending,931.72,Richard Brooks,Increase off college pretty huge team.
2,386,143,56,2025-03-07,Wrong item,Approved,945.61,Andrea Jacobs,Nation science break do six act reality notice.
3,471,245,10,2025-02-12,Customer changed mind,Rejected,588.37,Nicholas Perkins,Realize gun offer leader born throw public security.
4,716,458,51,2024-10-26,Damaged product,Rejected,4755.61,Ashley Leon,Station continue how day.
5,498,112,65,2025-02-27,Damaged product,Pending,3413.08,Alan Daniels,At difference truth start.
6,253,58,69,2024-11-03,Defective product,Approved,4111.47,Elizabeth Payne,Feeling large arm system however world.
7,201,65,22,2025-07-13,Defective product,Approved,3138.75,Kelly Miller,Sort sister enter pressure.
8,332,356,44,2026-02-01,Defective product,Rejected,430.55,Stacy Cortez,First animal nation indeed admit student several perform.
9,831,411,38,2026-05-18,Damaged product,Rejected,346.97,Danny Jones,Report and letter listen general yard.
10,75,65,90,2025-07-09,Defective product,Pending,2097.95,Jessica Barber,Miss subject heavy team tonight including speech.
11,244,80,10,2025-01-14,Defective product,Pending,4808.09,Kenneth Walker,Lead another who arm.
12,303,226,3,2026-02-02,Customer changed mind,Pending,3440.74,Stephen Turner,Fire how area cost side recognize upon.
13,330,345,27,2025-02-16,Customer changed mind,Rejected,2135.52,Timothy Ball,Environmental its yard range.
14,129,245,72,2025-12-25,Customer changed mind,Pending,503.58,Dwayne Chan,Along tough standard certainly.
15,519,94,43,2025-09-02,Customer changed mind,Pending,992.1,David White,Protect heart nature hold indicate.
16,1400,387,13,2025-01-01,Wrong item,Approved,817.85,Janet Espinoza,Enter call we process.
17,127,180,9,2025-01-31,Customer changed mind,Pending,467.68,Jennifer Parker,Stage analysis boy option officer record black.
18,592,92,33,2025-06-09,Wrong item,Pending,3970.77,Cheryl Garcia,Week turn only.
19,1002,13,14,2025-08-18,Damaged product,Rejected,2354.33,David Bryant,Investment both would yeah talk kid yard.
20,919,354,47,2024-09-12,Customer changed mind,Pending,3948.79,Ms. Kristen Myers,Sound among but above enjoy today.
21,1399,484,11,2025-08-22,Defective product,Approved,4176.83,Travis Robinson,Leg piece every today.
22,401,144,22,2026-02-19,Damaged product,Approved,1860.49,Timothy Myers,Appear art edge race strong poor.
23,1019,439,25,2025-02-01,Damaged product,Pending,1430.03,Anthony Luna,Compare trouble just.
24,850,401,96,2026-05-25,Damaged product,Pending,2842.6,James Martin,Hot indeed suddenly difference.
25,498,320,27,2026-07-04,Customer changed mind,Pending,582.1,Joseph Green,Cost official know final.
26,118,25,38,2026-02-28,Customer changed mind,Pending,3422.22,Matthew King,Heart include food discuss wide.
27,127,166,74,2025-04-12,Wrong item,Pending,846.67,Mercedes Hernandez,College improve represent late.
28,222,469,26,2026-05-07,Customer changed mind,Rejected,2495.79,Kimberly Miller,Significant professional home though and notice.
29,703,459,29,2026-04-25,Damaged product,Approved,3809.01,Ashley Martinez,Close pull else create.
30,212,151,76,2025-10-09,Wrong item,Rejected,3747.82,Dominique Hicks,Similar mother daughter reach.
31,871,20,1,2024-12-06,Wrong item,Rejected,2746.41,Todd Terry,Ability behavior total notice media head.
32,1169,449,68,2026-07-23,Damaged product,Rejected,533.65,Donna Vaughn,Drive plan boy always strong soldier act.
33,737,323,1,2026-04-24,Customer changed mind,Pending,1273.39,Melissa Kim,Any size central trade science time.
34,261,369,25,2026-03-21,Defective product,Approved,2661.84,Kyle Mahoney,His budget adult cause decision especially concern.
35,1486,429,54,2026-02-19,Damaged product,Rejected,1501.92,Franklin Lyons,Bad nature system sometimes the.
36,647,350,46,2025-11-13,Wrong item,Rejected,1069.2,Angel Williams,Perform already moment very field standard.
37,882,137,43,2025-05-28,Wrong item,Pending,848.26,Brittany Russell,Lay third in lay man.
38,95,184,91,2024-08-22,Defective product,Pending,1263.27,Jeffrey Obrien,Loss rock bank out candidate house.
39,298,403,30,2026-06-12,Wrong item,Approved,3593.7,Sarah Noble,Care tough identify specific.
40,211,384,14,2024-10-03,Defective product,Pending,3373.97,Sally Peck,Popular agency main form ever truth pull.
41,428,32,65,2026-02-24,Damaged product,Approved,2018.19,Destiny Greene,College able bit listen candidate order.
42,1468,439,46,2026-01-17,Customer changed mind,Rejected,2167.17,Dana Smith,Small system something father bed.
43,1394,447,82,2026-01-08,Customer changed mind,Rejected,1747.4,James Woods,Price agree hit sister fund write goal manager.
44,326,372,88,2025-11-24,Wrong item,Approved,2469.95,Jennifer Curry,Per again choice produce however television.
45,182,467,51,2025-07-31,Defective product,Pending,4469.38,William Castaneda DDS,Gun name mission information.
46,227,294,8,2026-07-27,Wrong item,Pending,464.24,Joseph Smith,Rather identify speak story trade against perhaps sort.
47,1281,119,25,2025-07-01,Customer changed mind,Rejected,1068.03,Patrick Morgan,Organization all account care away already me themselves.
48,1115,377,32,2025-11-03,Wrong item,Approved,2266.54,Debra Harrison,Mrs among network into hot.
49,1491,23,34,2026-01-14,Customer changed mind,Pending,991.89,Rhonda Perez,May despite store head.
50,1280,106,73,2025-03-13,Damaged product,Rejected,2621.17,Yvette Woods,Serve American rise including fight everything.
51,201,361,41,2025-08-02,Damaged product,Approved,3151.39,Sara Russell,Doctor everybody wrong.
52,1220,82,73,2024-10-16,Wrong item,Approved,805.2,Anna Duncan,History threat can fill stuff.
53,436,424,78,2025-01-24,Wrong item,Pending,3439.59,Michael Walker,Fish few worker seek bring.
54,1270,467,33,2025-05-09,Wrong item,Approved,4833.03,Russell Bailey,Wall environment major apply.
55,1351,498,57,2025-02-06,Damaged product,Pending,1762.52,Eric Wilson,Work yes up own room.
56,587,204,69,2026-03-17,Wrong item,Rejected,4971.84,Leslie Floyd,Believe learn learn long stage actually do across.
57,364,114,67,2026-05-02,Damaged product,Rejected,2962.54,Wendy Holloway,Water poor address region fish the realize.
58,974,156,87,2025-06-06,Damaged product,Pending,2763.6,Sean Malone,On deep until whom school exist impact plant.
59,1342,359,53,2025-03-04,Wrong item,Pending,4935.59,Joseph Nguyen,Would two government management side these main meet.
60,362,235,42,2026-07-09,Customer changed mind,Approved,3751.69,Elizabeth Brown,Join travel skin.
61,1144,441,41,2025-03-30,Wrong item,Approved,564.44,Gina Snyder,Reason law carry customer focus.
62,1287,234,99,2025-01-23,Defective product,Pending,243.09,Darin Jensen,College though everyone far fast.
63,185,193,77,2025-12-11,Damaged product,Rejected,3839.24,Tina Moreno,Home forget animal early.
64,801,446,31,2026-01-10,Customer changed mind,Approved,776.32,Jacob Dixon,Nice just alone shoulder case reveal guy.
65,1051,266,46,2025-12-16,Wrong item,Rejected,3647.11,Cindy Spears,Performance general moment share.
66,1358,325,42,2024-08-24,Defective product,Pending,436.23,Daniel Maynard,Billion at investment moment office.
67,726,321,43,2025-10-09,Wrong item,Approved,2493.14,Dillon Wells,Car few little maintain ready although.
68,914,300,49,2024-08-20,Wrong item,Rejected,4856.36,Todd Walsh,Face item whom necessary will letter Republican start.
69,516,95,10,2024-12-25,Damaged product,Pending,2604.2,Holly Hughes,Eight expert crime low.
70,12,499,19,2025-02-02,Customer changed mind,Approved,95.68,Ross Torres,Own join production economic use.
71,819,400,73,2026-01-26,Customer changed mind,Approved,100.7,Katherine Lopez,Rich catch ball throughout.
72,1033,57,9,2026-01-08,Damaged product,Rejected,544.61,Charles Campbell,Much air perhaps drug against be different risk.
73,1296,478,24,2025-01-14,Defective product,Pending,4213.18,Robert Jackson,Thought color surface surface.
74,1101,22,74,2026-04-17,Defective product,Pending,2942.85,Jennifer Mack,Suffer approach population out song administration.
75,552,144,21,2025-09-05,Wrong item,Pending,1450.36,Brittany Gonzales,Individual center among degree along early young.
